Table:to the right of:Cardbox 2
Ceiling Light 2:to the right of:Ceiling Light 1
Picture 2:to the right of:West Wall
CardBox 2:to the right of:Cardbox 1
Ceiling Fan:to the right of:Ceiling Light 1
Blue Chair 2:to the right of:Cardbox 2
Blue Chair 2:to the right of:Table
Yellow Book 2:to the right of:Laptop
BookShelf 2:to the right of:Picture 1y
Picture 1:to the right of:Bookshelf 1
Picture 1:to the left of:Bookshelf 2
Yellow Book 2:to the left of:Blue Chair 2
Blue Chair 2:to the left of:Blue Chair 1
Laptop:to the left of:Blue Chair 2
Ceiling Fan:to the left of:Ceiling Light 2
Ceiling Light 1:to the left of:Ceiling Light 2
Laptop:to the left of:Yellow Book 2
Table:to the left of:Blue Chair 2
Bookshelf 1:to the left of:Pciture 1
Carbox 2:to the left of:Blue Chair 2
